time_cgels,time_dgels,time_sgels,time_zgels,LAPACK,Computes the least squares solution,,,,,,,
time_cgels_tile,time_dgels_tile,time_sgels_tile,time_zgels_tile,LAPACK,,,,,,,,
time_cgemm,time_dgemm,time_sgemm,time_zgemm,BLAS – 2,,,,,,,,
time_cgemm_tile,time_dgemm_tile,time_sgemm_tile,time_zgemm_tile,BLAS – 2,,,,,,,,
time_cgeqrf,time_dgeqrf,time_sgeqrf,time_zgeqrf,LAPACK,Computes a QR factorization of a general rectangular matrix.,,,,,,,
time_cgeqrf_tile,time_dgeqrf_tile,time_sgeqrf_tile,time_zgeqrf_tile,LAPACK,,,,,,,,
time_cgeqrs_tile,time_dgeqrs_tile,time_sgeqrs_tile,time_zgeqrs_tile,CULA,system solve from QR data,,,,,,,
time_cgesv_incpiv,time_dgesv_incpiv,time_sgesv_incpiv,time_zgesv_incpiv,LAPACK,Solves a general system of linear equations AX=B. ,,,,,,,
time_cgesv_incpiv_tile,time_dgesv_incpiv_tile,time_sgesv_incpiv_tile,time_zgesv_incpiv_tile,LAPACK,,,,,,,,
time_cgesv_nopiv,time_dgesv_nopiv,time_sgesv_nopiv,time_zgesv_nopiv,LAPACK,,,,,,,,
time_cgesv_nopiv_tile,time_dgesv_nopiv_tile,time_sgesv_nopiv_tile,time_zgesv_nopiv_tile,LAPACK,,,,,,,,
time_cgetrf_incpiv,time_dgetrf_incpiv,time_sgetrf_incpiv,time_zgetrf_incpiv,LAPACK,"Computes an LU factorization of a general matrix, using partial pivoting with row interchanges. ",,,,,,,
time_cgetrf_incpiv_tile,time_dgetrf_incpiv_tile,time_sgetrf_incpiv_tile,time_zgetrf_incpiv_tile,LAPACK,,,,,,,,
time_cgetrf_nopiv,time_dgetrf_nopiv,time_sgetrf_nopiv,time_zgetrf_nopiv,LAPACK,,,,,,,,
time_cgetrf_nopiv_tile,time_dgetrf_nopiv_tile,time_sgetrf_nopiv_tile,time_zgetrf_nopiv_tile,LAPACK,,,,,,,,
time_cgetrs_incpiv_tile,time_dgetrs_incpiv_tile,time_sgetrs_incpiv_tile,time_zgetrs_incpiv_tile,LAPACK,"Solves a general system of linear equations AX=B, ATX=B or AHX=B,",,,,,,,
time_cgetrs_nopiv_tile,time_dgetrs_nopiv_tile,time_sgetrs_nopiv_tile,time_zgetrs_nopiv_tile,LAPACK,,,,,,,,
time_clange,time_dlange,time_slange,time_zlange,LAPACK,Auxiiar Subprogram,,,,,,,
time_clange_tile,time_dlange_tile,time_slange_tile,time_zlange_tile,LAPACK,,,,,,,,
time_cposv,time_dposv,time_sposv,time_zposv,LAPACK,Solves a symmetric/Hermitian positive definite system of linear equations AX=B. ,,,,,,,
time_cposv_tile,time_dposv_tile,time_sposv_tile,time_zposv_tile,LAPACK,,,,,,,,
time_cpotrf,time_dpotrf,time_spotrf,time_zpotrf,LAPACK,Cholesky Factoriztion,,,,,,,
time_cpotrf_tile,time_dpotrf_tile,time_spotrf_tile,time_zpotrf_tile,LAPACK,,,,,,,,
time_cpotri_tile,time_dpotri_tile,time_spotri_tile,time_zpotri_tile,LAPACK,"Computes the inverse of a symmetric/Hermitian positive definite matrix, using the Cholesky factorization computed by ?POTRF.",,,,,,,
time_cpotrs_tile,time_dpotrs_tile,time_spotrs_tile,time_zpotrs_tile,LAPACK,"Solves a symmetric/Hermitian positive definite system of linear equations AX=B, using the Cholesky factorization computed by ?POTRF. ",,,,,,,
time_csytrf_tile,,,time_zsytrf_tile,LAPACK,"Computes the factorization of a symmetric-indefinite matrix, using the diagonal pivoting method. ",,,,,,,
time_ctrsm,time_dtrsm,time_strsm,time_ztrsm,BLAS – 3,,,,,,,,
,,,,,,,,,,,,
INCPIV-which performs incremental pairwise pivoting,,,,,,,,,,,,
,,,,,,,,,,,,
Nature, ResourceId, Type, Start, End, Duration, Depth, Value, Footprint , JobId , Params, Size, Tag
